French,Frequency,English
pipe,3398,pipe
osé,3397,daring
pirate,3397,pirate
promesses,3396,promises
frites,3396,fries
parier,3395,to bet
essayes,3395,essays
envoyés,3394,envoys
peindre,3394,to paint
partent,3394,leave
informatique,3393,computer science
admets,3391,admitts
doutais,3391,doubt
dés,3391,of the
dépose,3390,deposit
ancêtres,3390,ancestors
acide,3390,acid
immobilier,3389,real estate
blue,3388,blue
saisir,3388,to input
mettrai,3388,will put
liés,3388,linked
patty,3388,patty
kirk,3386,kirk
obligés,3385,compulsory
constamment,3384,constantly
vedette,3382,star
marchait,3380,was walking
christian,3380,christian
aidée,3380,helped
familier,3379,familiar
fixe,3378,fixed
dignité,3377,dignity
tirs,3376,shots
disparaît,3376,disappears
élections,3375,elections
dessins,3375,drawings
déclare,3374,declared
catastrophe,3371,disaster
choisit,3371,choose
prétendre,3370,pretend
amenez,3370,amenez
marteau,3369,hammer
jet,3368,jet
g,3368,g
paierai,3367,will pay
cameron,3366,cameron
accorder,3366,to agree 
accroche-toi,3365,hang on
volontiers,3365,gladly
affection,3365,affection
disaient,3363,said
enregistrer,3362,save
ordonne,3362,ordered
tombes,3362,fallen down
saisi,3361,grasped
trouille,3360,funk
poignardé,3360,stabbing
ronnie,3360,ronnie
fiches,3358,cards
scanner,3357,to scan
document,3357,document
colin,3357,colin
atterrir,3356,to land
rois,3356,kiss
transforme,3356,transform
jill,3355,jill
sec.,3355,dry.
échantillons,3354,samples
serre,3354,tight
fichier,3352,file
répétition,3350,repetition
gina,3350,gina
dentiste,3350,dentist
fassiez,3349,make
occupes,3349,occupants
plairait,3348,would please
plats,3347,dishes
accorde,3347,granted
formes,3346,shapes
machin,3346,thing
christopher,3346,christopher
va-t-elle,3346,she's going
déterminer,3345,determine
ouvriers,3344,workers
times,3340,time
utilisant,3340,using
sexuels,3337,sexual
célébrer,3335,celebrate
allen,3334,allen
oublions,3333,forget
montée,3332,climb
philip,3330,philip
partirai,3330,will leave
civil,3330,civil
got,3329,clog
pompes,3329,pumps
marc,3329,marc
promenade,3327,ride
entraîné,3327,trained
jetée,3326,pier
profit,3326,profit
tiennent,3325,hold
tache,3325,stain
franklin,3325,franklin
emporte,3323,take away
damon,3322,damon
absent,3320,absent
désespéré,3320,desperate
burke,3319,burke
prochaines,3319,next
création,3318,creation
cinquième,3317,fifth
levez-vous,3316,stand up
ecoutez-moi,3315,listen to me
ellie,3314,ellie
refuge,3313,refuge
base-ball,3312,baseball
diamant,3312,diamond
coke,3312,coke
antenne,3310,antenna
satan,3309,satan
aperçu,3308,preview
antoine,3308,antoine
réussite,3307,success
guère,3306,hardly
provoquer,3305,to provoke
formule,3305,formula
fleuve,3303,river
recette,3303,recipe
intime,3303,respondent
cordes,3303,ropes
plaie,3302,wound
réagir,3301,react
cuire,3299,cook
leslie,3299,leslie
bénédiction,3299,blessing
saloperie,3299,bastard
eve,3299,eve
compassion,3298,compassion
brooke,3298,brooke
vaux,3297,vaux
obsédé,3296,obsessed
duc,3296,duke
curtis,3294,curtis
bidon,3291,can
divorcer,3289,divorce
relever,3288,raise
sobre,3286,sober
deviné,3285,guess
sonné,3284,wounded
drogué,3283,drug
von,3282,von
merveille,3281,wonder
flammes,3278,flames
illusion,3278,illusion
anneau,3278,ring
sauvetage,3277,rescue
comprennent,3277,understand
madison,3276,madison
gentiment,3273,kindly
lana,3273,lana
canal,3273,channel
pleut,3272,ray
exposé,3271,exposed
violet,3270,purple
élevée,3270,high
gps,3270,gps
april,3268,april
rapproche,3267,close
leonard,3266,leonard
fatigue,3266,fatigue
effrayer,3266,scare
dormais,3265,dreamed
benjamin,3265,youngest
réfléchissez,3264,think
get,3264,get
like,3262,like
lave,3262,wash
visiteurs,3261,visitors
piéger,3261,trap
péter,3261,to fart
occuperai,3259,will occupy
pédé,3259,fad
désordre,3258,mess
surnom,3258,nickname
palmer,3258,palm
drew,3256,drew
meg,3254,meg
range,3254,tidy
structure,3254,structure
évasion,3253,escape
dites-le,3250,say it
discret,3250,discreet
petit-fils,3250,grandson
délicat,3249,delicate
appuyer,3248,press
royale,3247,royal
foutus,3247,damn
photographe,3247,photographer
disputer,3246,argue
supérieure,3245,superior
raccroche,3245,hang up
ère,3245,time
normaux,3243,normal
tuerait,3242,would kill
officielle,3241,official
seattle,3241,seattle
marines,3241,navy
steak,3241,steak
connaissons,3240,let's know
drame,3239,drama
are,3238,are
intense,3238,intense
svp,3237,please
août,3236,august
loups,3236,wolves
verdict,3236,verdict
échecs,3232,chess
considéré,3231,considered
pirates,3230,pirates
assaut,3230,assault
écrite,3230,written
observe,3229,observed
survivants,3228,survivors
étudie,3226,studied
explosifs,3226,explosives
tues,3224,you are
poursuite,3223,pursuit
recherché,3223,research
arrêtez-vous,3222,stop
singes,3220,monkeys
finisse,3219,finish
téléphoné,3219,phone
sonnerie,3219,alarm
synchro,3218,synchro
çà,3217,that
mouche,3217,fly 
botter,3217,kick
watson,3214,watson
bingo,3213,bingo
plaques,3213,plates
clef,3212,key
nous-mêmes,3211,ourselves
grillé,3210,grid
peint,3209,painted
relecture,3209,rereading
décembre,3208,december
montrez,3208,show
lindsay,3207,lindsay
douceur,3205,candy
fiançailles,3204,engagement
impressionné,3203,impressed
restés,3203,remains
glisser,3203,slide
allions,3202,allow
faîtes,3201,do
neal,3201,neal
ned,3200,ned
vider,3200,empty
fonctions,3198,functions
michel,3198,michel
capacités,3198,capacities
touches,3197,keys
reverra,3197,will see again
anderson,3197,anderson
fermés,3196,closed
bougies,3194,candles
baignoire,3194,bathtub
coincer,3192,stuck
familiale,3191,family
donnerais,3191,would give
eux-mêmes,3191,themselves
révélé,3188,revealed
international,3188,international
fun,3185,fun
banques,3183,banks
émotion,3180,emotion
cocaïne,3180,cocaine
conversations,3179,conversations
turner,3178,turner
jetons,3178,tokens
relais,3177,relay
saleté,3177,dirt
retenue,3177,detention
kurt,3175,kurt
compétences,3175,skills
plaisanterie,3174,joke
longueur,3174,length
thème,3173,theme
magasins,3171,stores
lutter,3170,to struggle against
viendront,3170,will come
monseigneur,3170,my lord
mourant,3169,dying
contenu,3168,content
ennui,3165,boredom
corée,3165,korea
référence,3165,reference
-ooo--,3164,-oo--
cachette,3164,hide
came,3164,cam
insectes,3164,insects
moustache,3163,mustache
certes,3163,certainly
britannique,3162,british
laissez-la,3162,let it
poésie,3161,poetry
assassinat,3161,assassination
lex,3160,the ex
tabac,3159,tobacco
garantie,3158,guarantee
couples,3156,couples
bacon,3156,bacon
apres,3156,after
freddy,3155,freddy
hôte,3154,host
conclusion,3154,conclusion
insisté,3153,insisted
personnels,3152,personal
représentant,3150,representative
pull,3150,sweater
défoncé,3149,smashed
fraîche,3148,fresh
zach,3147,zach
donald,3147,donald
voile,3146,veil
règne,3145,reign
venaient,3145,came
misère,3145,misery
future,3145,future
compliment,3142,compliment
sou,3142,soup
inverse,3141,reverse
coller,3139,stick
grotte,3139,cave
élection,3139,election
fouille,3139,search
irak,3139,iraq
deviendra,3138,will become
vois-tu,3138,do you see
tristesse,3137,sadness
orchestre,3136,orchestra
suivent,3134,follow
analyses,3133,analyzes
allez-vous-en,3133,go away
portail,3132,portal
mines,3131,mines
montres,3131,watches
spéciales,3130,special
possibilités,3130,possibilities
puni,3129,punished
génétique,3129,genetic
robes,3128,dresses
aimons,3128,like
reconnaissez,3127,recognize
soirées,3127,evenings
boissons,3127,drinks
généralement,3127,generally
planche,3126,plank
eut,3125,had
chaînes,3124,chains
sorcier,3124,wizard
lent,3123,slow
pam,3122,gym
vivons,3121,let's live
nuage,3121,cloud
now,3121,now
arrêtent,3120,stop
divorcé,3120,divorce
payée,3119,paid
louche,3119,suspicious
occupera,3119,will occupy
maladies,3119,diseases
biscuits,3117,cookies
connards,3117,asshole
interrogé,3116,interrogates
archer,3116,archer
trahir,3116,to betray
sous-vêtements,3115,underwear
duke,3115,duke
saurait,3114,would know
reporter,3114,postpone
bazar,3113,bazaar
mondes,3113,worlds
antonio,3113,antonio
mail,3112,email
boutons,3112,buttons
caporal,3111,corporal
j.,3111,j.
dites-leur,3110,tell them
développement,3110,development
quarantaine,3108,quarantine
poursuit,3108,pursue
juges,3108,judges
tombés,3108,fallen down
plains,3107,plains
nettoyé,3107,cleaned up
beach,3106,beach
marchent,3105,walk
enfuie,3105,fucked
enterprise,3104,enterprise
inspecteurs,3104,inspectors
demie,3103,a half
mcgee,3102,mcgee
graves,3098,serious
alison,3098,alison
enfoirés,3098,bastard
acceptez,3097,accept
inhabituel,3097,unusual
tickets,3095,tickets
essaierai,3095,will try
votes,3095,votes
détester,3095,to hate
han,3094,han
rebelles,3093,rebels
descente,3092,descent
marchandise,3091,merchandise
nicky,3090,nicky
confus,3089,confused
possibles,3088,possible
shaw,3088,shaw
infirmerie,3085,infirmary
savon,3085,soap
terreur,3083,terror
innocence,3082,innocence
vols,3079,flights
virginie,3079,virginia
janvier,3079,january
cheville,3078,ankle
experts,3078,experts
puissiez,3078,can
ais,3077,ais
incroyablement,3076,incredibly
plomb,3075,lead
serions,3075,be
réparé,3075,repaired
piper,3075,piper
harvard,3074,harvard
galerie,3074,gallery
cristal,3074,crystal
temporaire,3073,temporary
insensé,3073,foolish
cauchemars,3071,nightmares
mettait,3070,was putting
prendrait,3070,would take
décharge,3070,dump
permets,3069,allow
spécialement,3069,especially
prêté,3068,on loan
prenant,3066,taking
épuisé,3066,exhausted
benny,3066,benny
blanches,3064,white
gravité,3059,severity
attacher,3059,attach
taupe,3058,mole
centaine,3057,hundred
cambriolage,3056,burglary
manquent,3056,missing
bétail,3055,cattle
catholique,3055,catholic
sacrifier,3055,sacrifice
salue,3055,salute
e-mail,3054,e-mail
naomi,3053,naomi
arts,3053,arts
inspiration,3052,inspiration
casse-toi,3051,go away
majorité,3049,majority
blair,3047,blair
malheureuse,3047,unhappy
mel,3047,email
coco,3046,coconut
jazz,3043,jazz
kennedy,3042,kennedy
surprendre,3041,surprise
noyer,3038,walnut
surprises,3038,surprises
peut-etre,3038,maybe
relevé,3038,survey
principes,3034,principles
jacques,3034,jacques
moquer,3033,mock
rituel,3033,ritual
biologique,3032,biological
énormes,3032,huge
tordu,3032,twisted
concept,3032,concept
extra,3030,extra
nettoyage,3029,cleaning
missiles,3028,missiles
syndicat,3028,union
bailey,3027,bailey
circuit,3027,circuit
tournoi,3025,tournament
dénoncer,3025,denounce
hope,3024,hope
éternel,3023,eternal
graham,3023,graham
laisserais,3023,would leave
buck,3023,buck
bond,3022,jump
éternelle,3020,eternal
déesse,3020,goddess
fée,3019,fairy
balancé,3017,balance
fameux,3017,famous
ci,3017,this
sirène,3016,mermaid
pat,3016,pat
dérangé,3016,disturbs
jalousie,3013,jealousy
carmen,3012,carmen
dépêcher,3012,hurry
rassembler,3012,gather
lesbienne,3012,lesbian
vif,3011,lively
dégager,3010,clear
cat,3010,cat
gardiens,3010,guards
demandons,3010,ask
boucher,3009,butcher
noires,3009,black
désirs,3007,wishes
social,3006,social
promets-moi,3003,promise me
barbecue,3003,barbecue
galaxie,3003,galaxy
statut,3003,status
carton,3002,cardboard
fox,3002,fox
extrême,3000,extreme
requête,3000,request
francs,2998,francs
planter,2998,plant
troy,2998,troy
provoqué,2998,provoked
citron,2998,lemon
identification,2997,identification
impressionner,2997,impress
commentaire,2996,comment
nus,2996,naked
chantier,2995,construction site
déplace,2994,move
saviez-vous,2993,did you know
baker,2993,baker
chemins,2993,paths
unis,2992,united
arnaque,2992,scam
ultime,2991,ultimate
vaches,2991,cows
feraient,2989,would do
quai,2988,dock
maïs,2988,but
stark,2986,stark
cocktail,2986,cocktail
pêcher,2986,to fish
spécialité,2986,speciality
orbite,2984,orbit
étudiante,2984,student
correction,2984,correction
3ème,2984,3rd
comptable,2983,an accountant
arraché,2983,ripped off
manny,2983,manny
stuart,2982,stuart
pénible,2981,hard
appelés,2981,called
y.,2980,y.
signez,2978,sign
vain,2978,vain
afghanistan,2978,afghanistan
oreiller,2978,pillow
wallace,2978,wallace
éclair,2977,flash
sociaux,2976,social
erica,2976,erica
tactique,2975,tactical
alliés,2975,allies
violer,2974,violate
allergique,2973,allergic
villa,2971,villa
croisé,2971,cross
bang,2970,bang
cicatrice,2970,scar
vitre,2970,window
postes,2969,stations
apparaît,2969,appears
habitué,2969,used to
codes,2967,codes
tonnerre,2967,thunder
road,2966,road
miracles,2966,miracles
maîtres,2965,masters
zoe,2965,zoe
sensé,2964,sensible
melle,2963,melle
grange,2962,barn
promo,2962,promotion
donnez-lui,2962,give him
degré,2962,degree
cibles,2961,targets
habillée,2960,dressed
duncan,2959,duncan
sentez-vous,2959,do you smell
espérant,2958,hoping
appartenait,2958,belonged
battus,2958,beaten
flamme,2957,flame
apportez,2957,bring
bases,2957,bases
traînée,2956,streak
laser,2955,laser
flipper,2955,pinball
katherine,2955,katherine
amateur,2954,amateur
jen,2953,jen
serpents,2952,snakes
garcia,2951,garcia
élite,2951,elite
valeurs,2950,values
contents,2950,happy
chantage,2950,blackmail
haley,2949,haley
yang,2949,yang
poussez,2948,push
civile,2948,civil
amber,2948,amber
ralentir,2946,to slow down
happy,2945,happy
prudente,2944,prudent
solaire,2944,solar
miranda,2943,miranda
rejeté,2943,rejected
psychopathe,2942,psychopath
meredith,2942,meredith
comparé,2942,compared
troubles,2941,disorders
banc,2941,bench
engin,2941,machine
amenée,2939,brought
maillot,2939,jersey
pété,2939,farty
joy,2939,joy
trajet,2938,route
développer,2938,develop
démarrer,2938,to start up
gagnes,2937,winning
peste,2937,plague
castle,2936,castle
viendrait,2936,would come
down,2935,down
déconne,2934,disconnect
retrouvera,2934,will find
denise,2932,denise
habitudes,2930,habits
confession,2930,confession
académie,2930,academy
assassins,2930,assassins
inventer,2930,invent
cieux,2930,heavens
signalé,2929,reported
avancé,2928,advance
rapporté,2928,reported
trevor,2928,trevor
barman,2927,bartender
libère,2927,released
tournez,2927,turn
carnet,2927,notebook
complot,2927,conspiracy
éloigne,2926,distant
nier,2926,deny
augmentation,2925,increase
nanas,2925,nanas
pareils,2924,the same
emmenez-le,2924,take it
envoient,2924,send
dépôt,2922,deposit
mariages,2922,weddings
partagé,2921,sharing
actuelle,2921,current
camions,2919,truck
sonner,2918,ring
détendez-vous,2918,relax
appellera,2918,will call
physiquement,2918,physically
reed,2918,reed
world,2917,world
nichons,2917,tits
registre,2916,register
mia,2916,mia
pompe,2916,pump
frappée,2915,struck
veronica,2915,veronica
présentation,2915,presentation
fabriquer,2915,make
gene,2915,embarrassed
saluer,2914,greet
joint,2914,seal
ondes,2914,waves
évolution,2914,evolution
augmente,2913,increase
empoisonné,2913,poisoned
grippe,2910,flu
détresse,2909,distress
effacé,2909,erased
chiffre,2909,figure
guerriers,2908,warriors
battent,2908,beaten
guéri,2907,healed
hurler,2907,to yell
psychiatre,2905,psychiatrist
confié,2905,entrusts
fit,2905,fit
when,2904,when
orage,2904,thunderstorm
xena,2903,xena
cavalier,2901,rider
soi-disant,2901,supposedly
commettre,2900,commit
aurais-je,2899,would i have
déchiré,2899,torn
énervée,2899,angry
pendre,2898,hang
pousse-toi,2898,pushes you
mordre,2897,to bite
brosse,2896,brush
craquer,2896,crack
difficultés,2895,difficulties
impatient,2894,impatient
mario,2893,mario
guy,2893,guy
pyjama,2893,pyjamas
flèche,2892,arrow
suivie,2892,followed
hommage,2892,tribute
rentrés,2892,re -entry
éclate,2892,bursts
crevé,2891,outstanding
ordonnance,2891,prescription
anglaise,2889,english
accompli,2889,accomplished
boxe,2889,boxing
serviettes,2887,napkins
diriez-vous,2887,would you say
sèche,2886,dried
maudite,2886,cursed
décroche,2886,off hook
veniez,2886,come
rendait,2886,rendered
habituer,2885,get used to
intuition,2885,intuition
serena,2885,serena
fondation,2885,foundation
consulter,2884,to consult
concierge,2883,concierge
rosie,2882,rosie
bêtise,2881,stupidity
comptent,2881,count
réunir,2880,reunite
lâches,2880,cowardly
u,2880,u
étrangère,2879,foreign
philadelphie,2879,philadelphia
harrison,2879,harison
inconscient,2878,unconscious
mairie,2878,city ​​hall
poussée,2878,push
établi,2878,established
vaisselle,2877,dishes
hélico,2876,helicopter
volés,2876,stolen
ronde,2876,round
fardeau,2876,burden
hockey,2875,hockey
choisie,2874,chosen
brille,2874,shines
ris,2873,laugh
alcoolique,2871,alcoholic
doyle,2870,doyle
d.,2870,d.
cuit,2870,cooked
remplie,2870,filled
entreprises,2869,companies
ivan,2868,ivan
éteins,2868,extinguish
premièrement,2865,first of all
enchères,2864,auction
pertes,2864,losses
sous-marin,2864,submarine
rayons,2863,rays
annule,2862,canceled
kira,2862,kira
monk,2861,monk
livré,2859,book
intérieure,2857,interior
standard,2854,standard
glissé,2854,slippery
annoncé,2853,announcement
civilisation,2853,civilization
rentrant,2853,entry
souper,2852,supper
aprés,2852,after
veuilles,2851,widowed
institut,2850,institute
ventes,2850,sales
filmé,2849,filmed
continuent,2849,continue
grey,2849,gray
fracture,2849,fracture
reparti,2848,disturb
demande-lui,2848,ask him
concentre-toi,2847,concentrate
engage,2847,engaged
fine,2846,fine
dvd,2846,dvd
fusils,2845,rifles
wyatt,2844,wyatt
intéressée,2842,interested
éléphant,2842,elephant
bouclier,2842,shield
avantages,2841,benefits
considérer,2841,consider
chips,2841,chips
rappelle-moi,2840,call me back
atterrissage,2839,landing
voyou,2839,thug
connie,2835,connie
houston,2835,houston
fabriqué,2835,made
coiffure,2835,hairdressing
payez,2832,pay off
jusque-là,2831,until there
ri,2831,ri
botte,2830,boot
arrêtait,2830,stopped
député,2830,deputy
stefan,2828,stefan
patronne,2828,boss
cookies,2828,cookies
barrière,2828,barrier
obtient,2827,gets
disposition,2827,arrangement
papillon,2825,butterfly
capturé,2824,capture
attendra,2823,will wait
entrés,2822,entry
tucker,2822,tucker
adorait,2821,adored
emporté,2820,ride
dramatique,2820,dramatic
pourvu,2820,provided
originale,2820,original
accroche,2819,grip
ras,2819,ras
superman,2819,superman
pop,2817,pop
district,2816,district
apprendra,2815,will learn
sorties,2814,exits
tranquillement,2814,calmly
tenez-vous,2814,stand
sharon,2813,sharon
arrières,2813,rear
préférez,2812,prefer
radar,2812,radar
halte,2812,stop
deux-là,2810,two
zombie,2809,zombie
grille,2809,grid
critiques,2809,criticism
soucier,2809,worry
promet,2807,promise
visiblement,2807,visibly
mâle,2805,male
donnant,2805,giving
ciao,2804,ciao
copines,2804,girlfriends
brenda,2803,brenda
paniqué,2802,panic
poète,2802,poet
licence,2802,licence
sauvés,2800,saved
col,2800,collar
titres,2800,securities
verrais,2799,would see
chan,2798,chan
valent,2798,valiant
admis,2797,admitted
emprunté,2797,borrowed
honnêtes,2796,honest
attentivement,2795,careful
techniques,2794,techniques
passerelle,2794,bridge
melissa,2793,melissa
réalises,2792,realizations
reculer,2792,to move back
transmission,2792,transmission
drake,2792,drake
gré,2791,grateful
poignet,2791,wrist
montant,2790,rising
embarrassant,2790,embarrassing
beau-père,2788,stepfather
maîtrise,2788,mastery
lydia,2788,lydia
remplace,2787,replace
solo,2787,solo
toile,2786,cloth
hunter,2785,hunter
parrain,2785,godfather
transmettre,2785,to transmit
honorable,2783,honorable
jolis,2782,pretty
aussitôt,2782,right away
facteur,2782,postman
pere,2782,father
east,2781,east
claque,2781,slap
chloe,2781,chloe
impliquée,2781,implied
sabre,2781,saber
filet,2781,net
troupe,2781,troop
henri,2781,henri
brandon,2780,brandon
onze,2780,eleven
conclure,2780,conclude
claudia,2779,claudia
analyser,2779,analyze
antécédents,2779,history
pâle,2778,pale
servira,2777,be used for
investissement,2777,investment
sentie,2776,felt
pére,2774,father
puissants,2774,powerful
facebook,2772,facebook
vice-président,2772,vice-president
bud,2772,bud
fixer,2771,to stare
levée,2770,lifting
paula,2770,paula
poli,2770,polite
expliquerai,2768,will explain
day,2768,day
surprenant,2767,surprising
shopping,2767,shopping
visuel,2766,visual
directrice,2766,director
imbéciles,2764,fools
vulnérable,2764,vulnerable
pacifique,2762,peaceful
correspondance,2761,correspondence
retiens,2760,retain
éliminé,2760,eliminated
chienne,2759,female dog
conte,2759,tale
compagnon,2757,companion
difficulté,2756,difficulty
fées,2756,fairies
arrivant,2756,arrival
caravane,2755,caravan
da,2755,da
disparus,2754,missing
embêter,2754,bother
balader,2753,stroll
pharmacie,2751,pharmacy
défilé,2751,parade
ramasse,2751,picked up
âgé,2749,age
chanteur,2749,singer
avery,2748,avery
précise,2748,precise
rançon,2748,ransom
infirmières,2748,nurses
bossé,2748,bump
grayson,2748,grayson
miguel,2748,miguel
bauer,2746,bauer
retient,2746,retain
étonnerait,2744,would surprise
lawrence,2743,lawrence
miennes,2742,mine
kidnappé,2742,kidnapped
souhaitez,2741,wish
nounou,2740,nanny
adams,2740,adams
ralentis,2739,slowed down
repérer,2737,spot
automatique,2737,automatic
bowling,2736,bowling
détruite,2736,destroyed
emménager,2736,move in
laissés,2736,left
comptais,2735,count
us,2735,us
dormez,2734,sleep
cindy,2734,cindy
sebastian,2734,sebastian
gant,2733,glove
maurice,2732,mauritius
discipline,2732,discipline
choisissez,2731,choose
bisou,2731,kiss
connaissances,2730,knowledge
bernard,2730,bernard
paperasse,2730,paperwork
essais,2726,testing
hauts,2726,tops
affiche,2725,poster
pardonné,2724,forgiven
dallas,2724,dallas
enfermée,2723,enclosed
recevez,2723,receive
good,2722,good
fisher,2722,fisher
loge,2722,lodge
camionnette,2721,van
rocher,2721,rock
transféré,2720,transferred
supérieurs,2719,superiors
héritier,2719,heir
payés,2719,paid
terribles,2718,terrible
sénat,2718,senate
polly,2717,polly
partes,2717,parts
individu,2716,individual
dites-nous,2716,tell us
continuons,2715,let's go on
décevoir,2714,disappoint
fusion,2714,fusion
conne,2714,stupid
ado,2712,teenager
crane,2711,skull
angie,2711,angie
airs,2710,tune
traumatisme,2710,trauma
pierce,2710,pierce
comtesse,2709,countess
basé,2709,base
auriez-vous,2708,would you have
défaite,2708,defeat
khan,2707,khan
rapprocher,2707,bring together
assassiner,2707,murder
talons,2705,heels
œuf,2705,egg
compté,2704,account
rosa,2704,rosa
haricots,2703,beans
roulé,2702,rolled
fiable,2702,reliable
voulions,2702,wanted
morris,2701,morris
renfort,2700,reinforcement
escroc,2700,crook
fassent,2700,do
déconner,2699,mess around
andré,2699,andré
céréales,2696,cereals
tit,2695,tit
bandes,2694,bands
artistique,2693,artistic
fins,2692,fine
georges,2690,georges
blâmer,2690,blame
perdant,2690,losing
décédé,2689,deceased
lloyd,2689,lloyd
brouillard,2687,fog
quelques-uns,2686,some
oses-tu,2685,dare
caleb,2685,calear
occupez-vous,2685,take care of
brute,2684,bully
puisqu',2684,since
cinquante,2683,fifty
calibre,2682,caliber
trottoir,2682,sidewalk
poubelles,2682,trash cans
pilule,2681,pill
portais,2681,portable
arabe,2680,arab
qualités,2680,qualities
voire,2680,even or even
encre,2679,ink
eus,2679,eus
foudre,2678,lightning
visions,2677,visions
légèrement,2677,slightly
loupé,2676,magnifying glass
not,2676,not
blesse,2676,hurt
fortes,2676,strong
existait,2676,existed
cochons,2675,pigs
aimeriez,2675,would like
shirley,2674,shirley
marchand,2674,merchant
poursuivi,2674,for follow-up
démocratie,2673,democracy
script,2673,script
loyal,2672,loyal
respirez,2672,breathe
sueur,2672,sweat
espions,2672,spies
li,2670,li
battue,2669,beaten
changez,2669,change
précieuse,2668,precious
impliquer,2668,involve
empêché,2668,stop
satisfaire,2667,satisfy
plonger,2667,dive
pilotes,2666,pilots
reagan,2666,reagan
toilette,2664,toilet
spéciaux,2664,special
vagin,2664,vagina
décrit,2663,describe
hanna,2662,hanna
boucles,2662,loops
coupables,2662,guilty
coupée,2661,cut off
former,2659,form
typique,2658,typical
pleures,2658,crying
humaines,2658,human
faille,2656,fault
alfred,2656,alfred
allure,2656,pace
sucer,2655,suck
copies,2655,copies
habiter,2654,live
raciste,2654,racist
allonger,2652,lengthen
ressort,2652,spring
drôles,2650,funny
serviteur,2649,servant
e.,2649,e.
sexuelles,2649,sexual
case,2649,box
personnelles,2648,personal
championnat,2648,championship
web,2648,web
locaux,2648,local
domestique,2647,domestic
cd,2646,cd
remplis,2646,full
veine,2646,vein
pa,2646,pa
ennuyer,2646,annoy
ravissante,2645,ravishing
honnêteté,2643,honesty
moques,2643,cork
voudriez-vous,2642,would you like
sid,2641,sid
thompson,2639,thompson
approprié,2638,appropriate
patrie,2638,country
canons,2637,cannons
reconnaissante,2635,grateful
nécessaires,2633,required
philippe,2633,philippe
monroe,2632,monroe
forcée,2627,forced
guider,2627,to guide
verts,2626,green
certificat,2625,certificate
amende,2625,fine
présume,2624,presume
pan,2624,bang
ana,2624,ana
fusée,2624,rocket
zack,2623,zack
séparation,2623,separation
jeffrey,2622,jeffrey
renvoie,2622,refer
beverly,2622,beverly
sciences,2621,sciences
caca,2620,pooh
désespoir,2620,despair
voeux,2620,wishes
auberge,2620,hostel
diront,2620,will say
moore,2619,moore
bishop,2619,bishop
zombies,2618,zombies
boyd,2618,boyd
magazines,2617,magazines
marquer,2617,to mark
rechercher,2616,to research
soie,2615,silk
stella,2615,stella
chèvre,2612,goat
hache,2611,chopped
winston,2610,winston
fraude,2609,fraud
perry,2608,perry
ignorez,2608,ignore
racontez,2607,tell
hot,2607,hot
mont,2605,mountain
carburant,2604,fuel
ve,2604,ve
tapé,2604,tapped
veines,2603,veins
méritent,2603,deserve
ç,2603,vs
démissionné,2601,resigned
méritait,2601,deserved
alien,2601,alien
médicaux,2599,medical
australie,2599,australia
insulte,2598,insult
farce,2598,prank call
tires,2598,plows
appât,2597,bait
folles,2597,crazy
explorer,2596,explore
instrument,2596,instrument
noah,2595,noah
gage,2595,pledge
concentré,2595,concentrate
précédent,2594,previous
cortex,2593,cortex
curieuse,2592,curious
réponds-moi,2592,answer me
déçue,2592,disappointed
âne,2591,donkey
hal,2591,hal
lt,2590,lt
scotty,2590,scotty
danseuse,2590,dancer
corruption,2590,corruption
oeuf,2589,egg
secondaire,2588,secondary
ombres,2588,shadows
who,2588,who
économies,2588,savings
chauve,2587,bald
reese,2587,reese
tableaux,2587,paintings 
entouré,2587,surrounded
contrats,2586,contracts
sauront,2586,will know
retournes,2586,return
fumé,2585,smoke
silver,2582,silver
adopter,2581,adopt
comptait,2580,counted
demandant,2580,requesting
épicerie,2580,grocery store
bennett,2579,bennett
applaudissements,2579,applause
rentrera,2579,will come back
suicidé,2578,suicide
déchets,2578,waste
installe,2577,installed
clyde,2577,clyde
inconnus,2576,unknown
souhaiter,2576,to wish
gratuitement,2575,free
voté,2575,vote
have,2574,haven
supermarché,2574,supermarket
pleurs,2574,tears
crache,2573,spit
rideau,2573,curtain
février,2572,february
mises,2572,stakes
préoccupe,2571,concerned
repousser,2570,repel
roues,2570,wheels
surmonter,2569,overcome
cœurs,2569,hearts
exécuter,2569,execute
agneau,2569,lamb
ruby,2567,ruby
syndrome,2565,syndrome
mama,2565,mama
dimension,2564,dimension
téléphonique,2563,telephone
parcours,2562,course
excite,2561,excited
jesus,2561,jesus
becky,2561,becky
scolaire,2560,school
dis-le-moi,2559,tell me
appelons,2559,let's call
dingues,2557,crazy
finissent,2556,finish
générations,2555,generations
raser,2555,to shave
étages,2554,stages
rende,2554,rendering
cheminée,2554,chimney
voyous,2553,thug
saoul,2553,drunk
merdique,2553,crappy
bell,2553,bell
sont-elles,2552,are they
sun,2551,sun
saine,2551,healthy
nazis,2548,nazis
chiant,2546,tiresome
alimentaire,2546,eating
observation,2545,observation
clean,2545,clean
grossier,2544,rude
reid,2544,reid
ajoute,2544,add
délicate,2543,delicate
capturer,2543,capture
môme,2542,kid
calmes,2542,calm
sullivan,2542,sullivan
excepté,2541,except
papy,2539,grandpa
4e,2539,4th
distraire,2539,distract
rappellerai,2538,will recall
profondeur,2538,depth
randall,2538,randall
chèques,2538,checks
triple,2535,triple
regret,2534,regret
